sentence,outlet,topic,type,Label_bias,Label_opinion,biased_words
Hotez said anti-vaccine groups are seizing on the anti-government sentiment stoked by conservative-leaning protesters to advance their cause.,alternet,vaccines,left,Biased,Expresses writer’s opinion,['stoked' 'anti-government']
House Republicans are gearing up for a sustained push to expose leftist Democrats in the House Democrat majority on their increasingly extreme views on abortion.,breitbart,abortion,right,Biased,Expresses writer’s opinion,['extreme']
"If task force candidates from these organizations were absolute non-starters for presumptive presidential nominee Joe Biden, because they want to treat people who have committed crimes with too much human dignity, Sanders could instead have turned to an array of “progressive prosecutors.”",alternet,elections-2020,left,Biased,Expresses writer’s opinion,['progressive' 'prosecutors']
"That statement, while true, could leave some listeners with the wrong impression. Warren’s plan would cancel at least some student debt for 95 percent of debt holders, and all debt for 75 percent of borrowers (the source of Vice’s erroneous headline).",alternet,student-debt,left,Non-biased,Entirely factual,['']
"Bennett is seen immediately unleashing a tirade against Pan as he walks beside the politician, who tries to ignore, then laugh off his antagonist.",reuters,vaccines,center,Biased,Expresses writer’s opinion,['tirade' 'unleashing']
Most of the Democratic presidential candidates have prioritized tackling the nation’s staggering student debt crisis and many have called for some form of debt forgiveness.,usa-today,student-debt,center,Biased,No agreement,['staggering']
"The government urged unvaccinated families to hang a red cloth or flag outside homes as a signal for help, and imposed the shutdown to free up resources for its vaccine drive and keep even those fearful of vaccines home for the teams’ visits.",reuters,vaccines,center,Non-biased,Entirely factual,['']
"The Trump administration gave the Border Patrol unchallengeable authority over migrants seeking asylum by invoking a little-known power given to the Centers for Disease Control and Prevention, the U.S. public health agency, to ban the entry of people or things that might spread “infectious disease” in the U.S.",alternet,immigration,left,Biased,Somewhat factual but also opinionated,['unchallengeable' 'authority']
"Yes, there may still be time for the union's membership to change its thinking if the players reject the proposal, but at least one marketing expert said a ""no"" vote now could mean short- and long-term disaster.",msnbc,sport,left,Non-biased,Entirely factual,['disaster']
CNN national correspondent John King ripped President Donald Trump for not mentioning climate change in his second State of the Union address.,fox-news,environment,right,Biased,Expresses writer’s opinion,['ripped']
"Democratic presidential candidate Joe Biden promised black community leaders in Delaware on Monday he would earn their support amid nationwide police brutality protests, saying he would create a police oversight board within his first 100 days in the White House.",reuters,elections-2020,center,Non-biased,Entirely factual,['promised']
"The false messages that they say convinced hundreds of New Yorkers not to vaccinate their children weren’t spread in a Facebook group or on YouTube, but through a glossy magazine written by and for Orthodox Jewish parents.",msnbc,vaccines,left,Biased,Expresses writer’s opinion,['glossy' 'Orthodox' 'Jewish' 'false' 'messages']
"But decades of study have shown no link at all, and scientists are becoming increasingly impatient with the refusal to accept their findings.",msnbc,vaccines,left,Non-biased,Entirely factual,['impatient' 'increasingly']
"Last week, the House Judiciary Committee moved forward with plans for an expansive investigation into Trump World abuses, prompting White House Press Secretary Sarah Huckabee Sanders to release a rather intemperate press statement.",msnbc,abortion,left,Biased,Somewhat factual but also opinionated,['abuses' 'intemperate']
"President Donald Trump in an interview on Wednesday ripped former Vice President Joe Biden for failing on race relations, after 43 years in public office.",breitbart,elections-2020,right,Biased,Expresses writer’s opinion,['ripped' 'failing']
"On Wednesday, democrats got a chance to grill President Donald Trump's point person on deregulation as Andrew Wheeler came to Capitol Hill for his confirmation hearing to be the next permanent administrator of the Environmental Protection Agency.",usa-today,environment,center,Biased,Somewhat factual but also opinionated,['grill']
"For most of his presidency, the Republican has demanded sharp cuts to legal immigration, and has made this a non-negotiable element of any deal.",msnbc,immigration,left,Biased,No agreement,['demanded' 'non-negotiable']
"They came to the United States from all corners of the globe -- Somalia, Rwanda, El Salvador, the Balkans, Germany, Iraq -- claiming to have been persecuted but, in reality, they were the persecutors.",fox-news,immigration,right,Biased,Expresses writer’s opinion,['persecuted' 'persecutors']
"Days after suffering a horrifying injury during an NCAA gymnastics regional event, a senior gymnast from Auburn University revealed Monday she is retiring from the sport.",fox-news,sport,right,Non-biased,Entirely factual,['']
"Restrictions to health care organizations that work on family planning as known as the global gag rule does extensive harm to women, especially in developing countries, but it’s nevertheless been embraced by every recent Republican administration.
",msnbc,abortion,left,Biased,Expresses writer’s opinion,['embraced' 'extensive' 'harm']
"Trump is “angry” that intelligence officials informed Sanders and other members of Congress about some of Russia’s meddling efforts in the 2020 election cycle, Biden said, adding that the administration must do more to secure the integrity of our elections.",huffpost,elections-2020,left,Biased,Somewhat factual but also opinionated,['angry']
"For some years now, conservative and libertarian education policy experts have warned against voucher systems in favor, instead, of tax-credit scholarships and education savings accounts, which are less likely to drag the regulations and mandates of government schools into the private arena.",breitbart,student-debt,right,Biased,Somewhat factual but also opinionated,['drag']
Proponents of stricter protections for students argue the DOE’s recent rollback of Obama-era rules aimed at protecting students from predatory for-profit colleges will only lead to even more student defaulting on their loans.,alternet,student-debt,left,Biased,Somewhat factual but also opinionated,['predatory']
Soccer players who defy Olympic rules by making protest gestures at the 2020 Tokyo Games will be supported by their global union.,fox-news,sport,right,Non-biased,Entirely factual,['protest' 'gestures' 'defy']
"Derrick Morgan, senior vice president for federal and regulatory affairs for oil lobby group American Fuel & Petrochemical Manufacturers (AFRM), bragged about how successful the industry has been in pushing anti-protest legislation,",alternet,environment,left,Biased,Somewhat factual but also opinionated,['anti-protest' 'bragged']
"Taken together, these trends leave many young Americans feeling trapped. If they don’t go to college, they have little chance of getting a steady, well-paying job. If they do go to college they’ll be on the hook for tens of thousands of dollars in student loans.  ",huffpost,student-debt,left,Biased,Expresses writer’s opinion,['trapped' 'hook' 'feeling']
"But the skeptics have taken on a brasher, bolder tone in recent months. ",msnbc,vaccines,left,Biased,Expresses writer’s opinion,['brasher' 'bolder']
"On Tuesday, AOC once again ignited a media firestorm when she continued bashing President Trump's administration by alluding to Nazi Germany while describing the way Trump detained migrant families on the border.",fox-news,immigration,right,Biased,No agreement,['ignited' 'firestorm' 'bashing' 'alluding' 'Nazi' 'Germany']
"President Donald Trump said Wednesday that he would become the first U.S. leader to attend the March for Life, one of the nation’s largest anti-abortion protests, in person later this week. The move is likely to be seen as an attempt by the president to appeal to his evangelical base at a time of fierce political turmoil.",huffpost,abortion,left,Biased,Somewhat factual but also opinionated,['anti-abortion' 'fierce']
Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.,usa-today,elections-2020,center,Biased,Expresses writer’s opinion,['shredded']
"The safe, heavily researched HPV vaccine remains tragically under-used — and anti-vaccine movies and conferences could make it more so if we’re not careful.",msnbc,vaccines,left,Biased,Expresses writer’s opinion,['tragically' 'under-used']
"Samoa on Thursday closed all non-essential public and private services for two days to combat a measles epidemic that has killed more than 60 people, mostly babies and children, in a battle complicated by a vocal anti-vaccination movement.",reuters,vaccines,center,Biased,Somewhat factual but also opinionated,['anti-vaccination' 'complicated']
"In Australia, record high temperatures and drought exacerbated by the climate crisis have ignited blazes that have killed more than two dozen people and destroyed 2,000 homes since September.",msnbc,environment,left,Non-biased,Entirely factual,['exacerbated' 'destroyed']
President Donald Trump touted how his reversal of Obama-era regulations on the fossil fuel industry has led to the United States being the largest producer of oil and natural gas in the world during his State of the Union address on Tuesday at the U.S. Capitol.,breitbart,environment,right,Biased,No agreement,['touted']
"After winning his 15th major championship, the legendary golfer Tiger Woods got a chance to laugh at all who doubted him.",huffpost,sport,left,Biased,Expresses writer’s opinion,['legendary' 'laugh']
"Schlapp’s apology comes as the U.S. is convulsed by protests after the police killing in Minnesota last month of a black man, George Floyd, by a white police officer, who knelt on his neck for nearly nine minutes. That officer has been charged with second degree murder and three fellow officers have been charged in abetting Floyd’s death.",reuters,elections-2020,center,Biased,Somewhat factual but also opinionated,['convulsed']
"As the senators’ letter pointed out this week, government watchdogs have repeatedly called out the PHEAA’s mismanagement of the program over the years.",huffpost,student-debt,left,Non-biased,Entirely factual,['mismanagement' 'watchdogs']
Day said that some Democrats had phoned her to say they would not vote for Hillary Clinton because of her extreme pro-abortion stance.,breitbart,abortion,right,Biased,Somewhat factual but also opinionated,['extreme' 'pro-abortion']
"Why did Democrats vote overwhelmingly against a bill that would require infants born alive after abortion to be treated as any other infant born at that gestational age? Because abortion is the right to destroy one’s own child, and if a woman chose to kill her baby, to the left it would seem a violation of her so-called right to choose for doctors to try to save that baby.",federalist,abortion,right,Biased,No agreement,['destroy' 'kill' 'so-called']
The disqualification was emblematic of what many women who wear hijabs go through while participating in sports.,huffpost,sport,left,Biased,Expresses writer’s opinion,['emblematic']
"Polling throughout the Democratic primary showed Sanders triumphing with young voters by massive margins, and early polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees.",huffpost,student-debt,left,Biased,Somewhat factual but also opinionated,['triumphing' 'massive' 'weaker']
"For decades, opponents of reproductive rights have faced a judicial arithmetic they could not overcome: there simply weren't five justices willing to overturn Roe.",msnbc,abortion,left,Non-biased,No agreement,['reproductive']
Several medical and advocacy groups have insisted abortion services should be considered as essential health care during the Chinese coronavirus pandemic and not subject to delays or a reduction of availability that will affect other health services.,breitbart,abortion,right,Biased,Entirely factual,['insisted' 'abortion']
"Microsoft has announced an ambitious effort to make voting secure, verifiable and subject to reliable audits by registering ballots in encrypted form so they can be accurately and independently tracked long after they are cast.",usa-today,elections-2020,center,Non-biased,Entirely factual,['ambitious']
Proposals to restructure repayment programs or dip into retirement accounts don’t prevent students from taking out dangerous amounts of student loans in the first place.,federalist,student-debt,right,Biased,Somewhat factual but also opinionated,['dangerous' 'amounts']
"Big Labor is not buying the Democrats' Green New Deal, saying the proposed economic and energy reforms could cause “immediate harm” to millions of union employees and threaten their livelihoods.",fox-news,environment,right,Biased,No agreement,['immediate' 'harm']
"Former Defense Secretary William Cohen on Friday called out President Donald Trump’s violent rhetoric about anti-racism protesters, warning the White House is “leading us down the trail toward a dictatorship.”",huffpost,elections-2020,left,Biased,Somewhat factual but also opinionated,['violent' 'rhetoric']
"The No. 1 vaccine refusal hotspot is in New York, a new report from the Blue Cross Blue Shield Association finds.",msnbc,vaccines,left,Non-biased,Entirely factual,['']
"Two years after the Trump administration made the state-sanctioned kidnapping of children at the border official U.S. policy, the horrors around this crime against humanity continue to be exposed.",alternet,immigration,left,Biased,Expresses writer’s opinion,['kidnapping' 'horrors' 'crime' 'against' 'humanity']
"Amid a measles outbreak that has sickened more than 50 people in the Pacific Northwest, Washington lawmakers heard testimony Friday on a bill that would remove parents’ ability to claim a personal or philosophical exemption to opt their school-age children out of the combined measles, mumps and rubella vaccine.",usa-today,vaccines,center,Non-biased,Entirely factual,['']
"Over the past few decades, RFK Jr.’s famous name has helped him get in the door to talk to important people, and it probably isn’t long before the person who is all jacked up to meet a Kennedy realizes the guy is totally cray-cray.",federalist,vaccines,right,Biased,Expresses writer’s opinion,['cray-cray']
"Since then, CTE has expanded from football to raise red flags around a myriad of other sports including soccer, rugby, horse racing, bull-riding, skiing/snowboarding, hockey, and wrestling.",fox-news,sport,right,Non-biased,Entirely factual,['']
"CTE is a degenerative brain disease that has been found in former players of North American football , soccer, hockey, rugby union and others exposed to repeated head injury.",fox-news,sport,right,Non-biased,Entirely factual,['']
"Thunberg lambasted business and political elites gathered at WEF Tuesday for not doing enough to tackle climate change, warning that time was running out.",fox-news,environment,right,Biased,Entirely factual,['time' 'running' 'out']
Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.,breitbart,student-debt,right,Biased,Entirely factual,['']
The argument that the real way to end abortion is to make abortion unnecessary by establishing a generous cradle-to-grave welfare state salves left-wing Christians' consciences for their support of radically pro-abortion politicians like Sen. Bernie Sanders.,federalist,abortion,right,Biased,Expresses writer’s opinion,['pro-abortion' 'politicians']
The ideas promoted by anti-vaccination groups — which rely on pseudoscience and conspiracy theories about the government and pharmaceutical companies — are false.,msnbc,vaccines,left,Biased,Expresses writer’s opinion,['pseudoscience' 'conspiracy' 'theories']
Rep. Ilhan Omar (D-MN) on Tuesday proposed legislation that would extend cash benefits from the latest emergency coronavirus relief measure to members of “mixed status” families and stressed that the next stage of relief must extend cash payments to non-citizens.,breitbart,immigration,right,Non-biased,Entirely factual,['']
"Liberal economist and New York Times opinion writer Paul Krugman, in a scathing column this week, warns that extreme events like the wildfires that have been devastating Australia are a preview of things to come — and he stresses that right-wing politicians who deny the reality of climate change are as great a threat as the events themselves.",alternet,environment,left,Biased,Expresses writer’s opinion,['scathing']
Racist Rep. Steve King (R-Iowa) said generations of people would not be here without rape and incest while making the case for anti-abortion legislation without exceptions for victims of those crimes.,huffpost,abortion,left,Biased,Somewhat factual but also opinionated,['Racist']
"Trump used to say that Mexico will pay for the wall, but since that is impossible, he has endorsed the bizarre claim that the wall will pay for itself.",alternet,immigration,left,Biased,Somewhat factual but also opinionated,['bizarre']
"In Philadelphia, there were also reports that the city was ignoring social distancing standards by cramming their new voting machines (one per jurisdiction) into multi-precinct voting locations, which forced voters and poll workers to stand on top of each other.",alternet,elections-2020,left,Biased,Somewhat factual but also opinionated,['forced' 'cramming']
"President Donald Trump surprised reporters at the White House briefing room on Thursday, continuing his demand for wall funding.",breitbart,immigration,right,Biased,Somewhat factual but also opinionated,['demand' 'surprised']
"Now, the data shows there is an aftershock in the form of the looming tsunami of student debt defaults that will hit communities of color the hardest, according to data compiled by the National Center for Education Statistics and Demos, a progressive think tank.",alternet,student-debt,left,Biased,Somewhat factual but also opinionated,['looming' 'tsunami']
"While the majority of Americans seem to accept scientific information about the deadly coronavirus and are wary of reopening the country before we can be sure it’s safe, one segment of the population is driving the opposite narrative. This group is small but vocal, and represents a predictable if threatening merging of forces.",msnbc,vaccines,left,Biased,Expresses writer’s opinion,['threatening']
"Since Roe v. Wade, when the Supreme Court recognized the constitutional right to an abortion, state lawmakers have devised novel ways to cut off access to the procedure without banning it outright. One strategy is to require clinics and doctors to comply with an ever-expanding list of regulations, with the goal of essentially red-taping providers out of business.",huffpost,abortion,left,Biased,No agreement,['red-taping' 'ever-expanding']
"A three-year-old girl in China’s Jiangsu province died after receiving a rabies vaccination last month, an ominous development in light of persistent scandals over low-quality and improperly-handled vaccines.",breitbart,vaccines,right,Biased,Expresses writer’s opinion,['improperly-handled' 'ominous']
Democrats have seethed as they helplessly watched the Trump administration undo or block a slew of Obama-era environmental proposals during the past two years.,usa-today,environment,center,Biased,Expresses writer’s opinion,['helplessly' 'seethed']
"Despite achieving a historic position of leadership in the highest level of national football, Sowers said she experienced LGBTQ discrimination in sports while in college, when was rejected from a volunteer coaching job because of her “lifestyle.”",msnbc,sport,left,Biased,Entirely factual,['']
"The damages bankruptcy inflicts on debtors looks appealing to the twenty percent who say they’ll be in debt until they die. Obama’s proposed change could start a run that would greatly increase costs to the federal government and, by extension, taxpayers.",breitbart,student-debt,right,Biased,Somewhat factual but also opinionated,['increase' 'appealing' 'greatly']
Olympic swimming champion Cameron van der Burgh said he has been battling the coronavirus for the last two weeks.,msnbc,sport,left,Non-biased,Entirely factual,['']
"Their work came on the heels of an IPCC report that warned of dire environmental, economic and health consequences in the absence of any serious momentum toward decarbonization by 2030.",alternet,environment,left,Biased,Entirely factual,['dire']
"After a two month shutdown, professional sports slowly began to re-emerge from under the COVID-19 cloud during the weekend as several events returned to television — all without fans in attendance.",reuters,sport,center,Non-biased,Entirely factual,['']
The doctors note that continuing abortions – some of which are likely to develop complications – place greater stress on a healthcare system that is under tremendous pressure at the current time.,breitbart,abortion,right,Biased,No agreement,['tremendous' 'pressure']
"And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled, New Jersey has chosen a different path, encouraging students to buy life insurance to cover their debt and take co-signers off the hook in the event of a tragedy",alternet,student-debt,left,Biased,Entirely factual,['']
"Trump, who has been critical of the Iraq war, in a tweet called Powell “a real stiff.” Powell is the latest former top military officer to rebuke Trump in the wake of sweeping mass protests aimed at fighting racial injustice spurred by the May 25 death of an unarmed black man in Minnesota.",reuters,elections-2020,center,Biased,No agreement,['rebuke']
"Mason Lowe — described as a beloved professional bull rider and a star in the sport — was competing in an event in Colorado on Tuesday night when he was knocked off a bull who then stomped on his chest, killing him, officials and witnesses said.",fox-news,sport,right,Non-biased,Entirely factual,['beloved']
"In a September executive order, President Donald Trump gave states and local governments the right to reject refugees, but instead of saying no, most state and local officials have blindsided the administration by opting in, according to two former officials familiar with the matter.",msnbc,immigration,left,Biased,Entirely factual,['blindsided']
"Climate change contributed to drastic declines in the population and diversity of bumblebees across North America and Europe, according to a long-term study of more than 60 bee species published Thursday in the journal Science.",usa-today,environment,center,Non-biased,Entirely factual,['drastic']
"The Trump administration and Republicans in Congress have stepped up their efforts to hold China accountable for intellectual property theft, unfair trade practices, and aggression towards U.S. allies in East Asia, as it seeks to replace the U.S. as the world’s superpower by 2049.",breitbart,elections-2020,right,Non-biased,Somewhat factual but also opinionated,['']
"This group is small but vocal, and represents a predictable if threatening merging of forces.",msnbc,vaccines,left,Biased,Expresses writer’s opinion,['threatening']
"Since 2016, climate scientists have been revising their estimates of the pace and severity of climate change, and the problem today looks more severe than their worst-case scenarios from three years ago.",alternet,environment,left,Non-biased,Entirely factual,['']
"The community leaders at Wilmington’s Bethel AME Church urged Biden to pick a black vice presidential running mate, and said the protests were a reflection of frustration about the lack of attention and resources for African-American communities.",reuters,elections-2020,center,Non-biased,Entirely factual,['']
Rep. Alexandria Ocasio-Cortez (D-NY) on Tuesday blasted President Donald Trump’s border wall as a “monument to hate” and a “monument to himself.”,breitbart,immigration,right,Non-biased,Entirely factual,['blasted' 'monument' 'to']
The organization named Leung as its new president and chief executive officer on Tuesday as it fights to retain its status as the national governing body for the sport after the Larry Nassar sexual abuse scandal.,huffpost,sport,left,Non-biased,Entirely factual,['fights']
"Trump likes to tell this story with vivid and completely made-up details about swaddling a baby in blankets before murdering it. The Senate held hearings in which anti-choice activist Jill Stanek — a crazed, racist liar who also claims Chinese people think aborted fetuses are a “delicacy” — claimed, almost certainly falsely, that she once witnessed a baby being killed this way. ",alternet,abortion,left,Biased,Expresses writer’s opinion,['made-up' 'murdering' 'crazed' 'racist' 'liar' 'delicacy' 'anti-choice']
"Americans Need To Stop Hurrying Young People Into Student Debt Slavery. Above all, we must give high schoolers personalized post-secondary educational recommendations before they get caught in the quagmire of student debt.",federalist,student-debt,right,Biased,No agreement,['Slavery' 'quagmire']
"When it comes to the Green New Deal blueprint to address the climate crisis, Republicans generally like to pretend it calls for the elimination of hamburgers.",msnbc,environment,left,Biased,Somewhat factual but also opinionated,['pretend']
"The whole anti-vaxx (as it became known) thing was nuts, a way for fading celebrities to pretend to be the vanguard of a Great Cause that Saved The Children from a sinister government conspiracy.",breitbart,vaccines,right,Biased,Expresses writer’s opinion,['fading' 'sinister' 'conspiracy' 'nuts']
"It was not stingy family leave policies that had this baby killed, it was the child’s mother, encouraged and enabled by a culture and legal regime that regard babies as a capstone consumer commodity to be ordered up when convenient, and violently disposed of when inconvenient.",federalist,abortion,right,Biased,Expresses writer’s opinion,['stingy' 'violently' 'disposed' 'killed' 'commodity']
"President Donald Trump has characterized those clashing with law enforcement after George Floyd’s death under the knee of a Minneapolis police officer as organized, radical-left thugs engaging in domestic terrorism, an assertion repeated by Attorney General William Barr.",huffpost,elections-2020,left,Biased,Entirely factual,['radical-left' 'thugs' 'terrorism' 'domestic']
But opponents argued that asking minors to negotiate the legal system when they are already scared and ashamed could drive them to illegal abortions.,msnbc,abortion,left,Biased,Somewhat factual but also opinionated,['scared' 'ashamed']
"The words and notions of all these documents (Green New Deal, Venezuelan Constitution, UN Covenant “International Covenant on Economic, Social and Cultural Rights”, Stalin-written Soviet Constitution) may sound good to some, but in the end, they are just empty words at best, a siren call for the naïve, beckoning them to a socialist utopia, and at worst, lip service meant to distract from totalitarian brutality.",breitbart,environment,right,Biased,Expresses writer’s opinion,"['empty' 'naïve' 'totalitarian' 'utopia' 'lip' 'service' 'brutality'
 'siren' 'call' 'words']"
"I get that the media really want to do some bullcrap horse-race point-scoring partisan sniping right now. But these are actually important questions. And “gotcha” reporting may get you butt-slapped by your fellow reporters at the bar, but it’s actually really dangerous.",federalist,vaccines,right,Biased,Expresses writer’s opinion,"['bullcrap' 'butt-slapped' 'partisan' 'sniping' 'gotcha' 'dangerous'
 'horse-race' 'point-scoring']"
"Despite a pandemic, one-sided presidential nomination contests, and nationwide protests about police violence and racial equality, the primaries were important — and instructive. ",alternet,elections-2020,left,Biased,Somewhat factual but also opinionated,['one-sided']
The Georgia Democrats took wire hangers and bottles of bleach to the House floor in protest as symbols of the self-induced abortions that many desperate women dangerously attempt when the aid of a doctor isn’t available or allowed.,huffpost,abortion,left,Biased,Somewhat factual but also opinionated,['dangerously' 'desperate']
"After days of mounting pressure, the top soccer clubs in Britain said Friday they would ask their players to take a 30 percent pay cut as the sport grapples with the damaging fallout from the coronavirus crisis.",msnbc,sport,left,Non-biased,Entirely factual,['grapples']
"The Trump administration has repeatedly said there is an ongoing “crisis” at the southern border and sought to deter migrants, many of whom were Central American families, from making the journey.",msnbc,immigration,left,Non-biased,Somewhat factual but also opinionated,['crisis']
"The government of the secretive central Asian nation Turkmenistan published photos of what it claimed to be thousands of cyclists celebrating World Health Day on Tuesday with a crowded ride through the nation’s capital, Ashgabat – one of several sporting events seemingly held with no concern for the Chinese coronavirus.",breitbart,sport,right,Biased,Somewhat factual but also opinionated,['secretive']
Pence was the source of inspiration to pro-life activists for a second time Friday as he had addressed the March for Life rally earlier in the day when he made a surprise visit to speak to thousands of pro-life marchers participating in the annual event.,breitbart,abortion,right,Non-biased,No agreement,['pro-life']
"More than 1 in 4 black households report they sometimes miss or are late on their debt payments, compared with approximately 1 in 7 white households. ",huffpost,student-debt,left,Non-biased,Entirely factual,['']
Transgender MMA fighter Fallon Fox twice broke a female opponent’s skull to win matches and now he is being praised by some in the LGBT community.,breitbart,sport,right,Biased,Somewhat factual but also opinionated,['praised']
"The Bezos Earth Fund may help shepherd along some new technologies, but billionaire philanthropy will not alter the regulatory structure that created the problem in the first place.",msnbc,environment,left,Biased,Somewhat factual but also opinionated,['billionaire' 'philanthropy']
"It's all very well to tell city residents not to line their trash cans with plastic bags, but washing out a kitchen receptacle every couple of days after use because it doesn't have a plastic liner will takes its toll on water supplies.",msnbc,environment,left,Non-biased,No agreement,['toll']
"Much of this health hazard lies at the feet of folks like RFK Jr., so the idea that Trump was doing the anti-vax slow-jam with this quack a week before Inauguration Day understandably put Twitterverse over the edge",federalist,vaccines,right,Biased,Expresses writer’s opinion,['anti-vax' 'slow-jam' 'quack']
"That meant anyone walking into a branch with a certain level of assets instantly became a target for multiple offers. Customers with lower incomes were less of a priority, increasingly treated as little more than a source of fee harvesting.",huffpost,student-debt,left,Biased,Somewhat factual but also opinionated,['fee' 'harvesting']
"Corinthian College Inc. is the bankrupted and criminal organization that Marco Rubio was defending just this past year, probably because he got a boatload of money from them in campaign organizations. Over the past 10 years it has come to light—through numerous lawsuits and state and federal investigations—that untold billions of dollars has been swindled out of student and taxpayers’ pockets by this private educational company.",alternet,student-debt,left,Biased,Somewhat factual but also opinionated,['criminal' 'swindled' 'boatload']
"Home Secretary Priti Patel said that in response to the surge of illegal migrants, the government will look into how to speed up the deportation process, possibly to be modelled on Australia’s uncompromising system which saw a steep decline in illegal migration under the Commonwealth’s “stop the boats” policy.",breitbart,immigration,right,Biased,Somewhat factual but also opinionated,['illegal' 'uncompromising']
"Due to the pandemic, polio and measles vaccination campaigns have been heavily impacted, with the former having been halted in 27 countries.",breitbart,vaccines,right,Non-biased,Entirely factual,['']
"President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations, where the former vice president removed his mask.",breitbart,elections-2020,right,Biased,Somewhat factual but also opinionated,['mocked']
"Meanwhile, lawmakers in several states ― including Louisiana ― are actively attempting to block abortions at six weeks of pregnancy, making the added wait time that comes with an admitting privileges law even more damaging to reproductive rights.",huffpost,abortion,left,Non-biased,Somewhat factual but also opinionated,['damaging']
"Her plight, along with those of about 27,000 DACA recipients working as doctors, nurses, paramedics and other health care workers, is full of irony: when the nation needs her most, she could be pulled from the workforce.",usa-today,immigration,center,Biased,No agreement,['irony']
Democratic lawmakers and environmental groups say the changes will exempt polluters from public scrutiny of their projects.,msnbc,environment,left,Non-biased,Entirely factual,['polluters']
"When the men’s basketball Final Four tips off Saturday in Minneapolis, the NCAA’s biggest and most lucrative event will proceed as it normally does: the athletes on the floor for Virginia and Auburn, Michigan State and Texas Tech, will play games that generate hundreds of millions of dollars in total revenue for their schools, the NCAA and broadcast companies, the coaches and athletic directors, TV executives and NCAA suits will share in the riches but athletes themselves still won’t receive their fair share ― and thanks to a recent federal court decision, that won’t change in the immediate future. ",huffpost,sport,left,Biased,Somewhat factual but also opinionated,['share' 'riches']
But Omar used Ivanka’s pro-family posts as a way to make a political point about her father’s policies regarding the families separation at U.S.-Mexico border.,breitbart,immigration,right,Non-biased,Entirely factual,['pro-family']
"For years, people opposed to vaccines have flooded Hotez’s social media accounts, calling him a shill for the pharmaceutical industry, though he’s never been paid by a drugmaker. ",msnbc,vaccines,left,Non-biased,Entirely factual,['shill']
Climate Wunderkind Greta Thunberg has garnered gushing praise from celebrities during her environmental crusade.,breitbart,environment,right,Biased,Somewhat factual but also opinionated,['Wunderkind' 'gushing' 'crusade' 'praise']
Girls and women do not have the same access to sports — and the profits and privileges and opportunities that come with them — as boys and men.,alternet,sport,left,Non-biased,Entirely factual,['privileges' 'opportunities']
And his demagoguery around the Central American immigrant caravans and asylum-seekers continually obscure the fact that asking for asylum is an entirely legal form of immigration — even though Trump and his defenders now like to call it a “loophole.”,alternet,immigration,left,Biased,Somewhat factual but also opinionated,['demagoguery' 'obscure']
Russia President Vladimir Putin joked Wednesday that he is going to interfere in the 2020 presidential elections.,usa-today,elections-2020,center,Non-biased,Entirely factual,['interfere']
"Sen. Bernie Sanders’ (I-VT) immigration plan, which opens the border to all foreign nationals, was drafted by a handful of illegal alien staffers.",breitbart,immigration,right,Biased,No agreement,['illegal' 'alien']
"Warren laid out that she was going to pay for the plan to cancel student debt, which would cost $1.25 trillion over the next decade, by an “Ultra-Millionaire Tax,"" which is a 2% annual levy that she wants to impose of 75,000 American families with $50 million or more in wealth.",usa-today,student-debt,center,Non-biased,Entirely factual,['']
Oprah Schools Instagram Hater With Receipts After Student Loan Diss,huffpost,student-debt,left,Biased,Expresses writer’s opinion,['Schools' 'Hater' 'Diss']
"First Joe Biden said he still supported the Hyde Amendment, which prohibits taxpayer funding of most abortions, , then changed his position one day later, after tremendous political pressure from farther-left Democrats.",federalist,abortion,right,Biased,No agreement,['tremendous' 'farther-left']
"Andres Iniesta, the former Barcelona captain and World Cup-winning Spanish soccer star, apologized Tuesday after being criticized for posting a picture of him posing with two people clad in blackface during a popular Christian celebration.",fox-news,sport,right,Non-biased,Entirely factual,['apologized' 'blackface']
Drowned out by the algorithm: Vaccination advocates struggle to be heard online,msnbc,vaccines,left,Biased,Somewhat factual but also opinionated,['Drowned' 'out' 'struggle']
"President Donald Trump sparked ire on Tuesday after he spread yet another conspiracy theory, this time about wind farms.",huffpost,environment,left,Biased,Entirely factual,['conspiracy' 'theory' 'sparked' 'ire']
Samoan authorities have blamed low coverage rates in part to fears sparked by the deaths of two babies last year after vaccinations that put a temporary halt on immunisation efforts.,reuters,vaccines,center,Non-biased,Entirely factual,['blamed' 'sparked']
"The number of abortions performed in 2017-2018 was 11,373 more than the abortions performed the year before that, a trend that shows that while Planned Parenthood officials once said abortion should be “safe, legal, and rare,” today they omit the word “rare” in their mantra as they perform more abortions each year.",breitbart,abortion,right,Biased,Somewhat factual but also opinionated,['abortions']
"The Republican-led Legislature and GOP Gov. Bill Lee have dismissed the idea of offering absentee ballots to all voters, with lawmakers voting against Democratic expansion proposals more than once this week as they meet during pandemic times.",huffpost,elections-2020,left,Non-biased,Entirely factual,['dismissed']
